title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Spanish Disc 4 In my home",1,17,11,48,468.3421,6
"Spanish 2 Wake up smiling",1,17,11,48,468.3421,6
"Spanish Disc 5 Happy sad and silly",1,17,11,48,468.3421,6
"Life forms animals animal oddities",1,17,12,7,590,13
"Decimals percents",1,17,12,13,513.265,13
"science of Disney imagineering Magnetism",1,17,12,13,531.55,13
"Lots lots of trucks Vol 2 Mighty tough trucks",1,17,13,12,629.224,11
"best of the best of the Electric Company",1,17,13,17,372.414,11
Japan,1,17,13,17,915.2,11
"My fantastic field trip to the planets",1,17,13,17,523.4,11
"Wiggles You make me feel like dancing",1,17,14,44,201,15
"Be the creature The complete first season",1,17,14,51,590,6
"John Deere action Part one",1,17,15,6,629.2252,7
"Whats in the Bible 2 Let my people go",1,17,15,9,222.12,9
"Whats in the bible Vol 7 Exile and return Ezra Nehemiah Esther",1,17,15,15,221.9505,9
"Peep and the big wide world Peep finds",1,17,15,16,372.35,2
Horse,1,17,15,21,636.1,7
"Yoga by the dozen",1,17,15,21,613.7046,7
"Muzzy level II German",1,17,15,26,438.3421,10
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 6 I can count",1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 3 Playtime",1,17,15,27,438.3421,10
"Teaching signs for baby minds 3 Dictionary alphabet",1,17,15,28,419.7,2
"Preschool fun Letters numbers",1,17,15,28,201,2
"Teaching signs for baby minds 1 Everyday signs",1,17,15,28,419.7,2
"German for babies toddlers and preschoolers Disc 4 In my home",1,17,15,34,438.3421,10
"Body mechanics superheroes of the human body",1,17,15,34,612,15
"Animal atlas Animal 123s",1,17,15,43,513.5,10
"magic school bus Super sports fun",1,17,15,45,530,5
"magic school bus catches a wave",1,17,15,49,553.7,5
Canada,1,17,15,52,971,1
"Rock n learn Getting ready for kindergarten",1,17,16,6,372.218,14
"magic school bus catches a wave",1,17,16,7,553.7,14
"English ESL 2 Wake up smiling",1,17,16,7,428.3461,7
"Sid the science kid Gizmos and gadgets",1,17,16,7,621.8,10
"Chalo Hindi bolay",1,17,16,8,491.43834,7
"Lots lots of playful penguins and their toe tappin feet",1,17,16,19,598.47,2
"way things work Electricity",1,17,16,19,537,2
"All about electricity",1,17,16,19,523.01,2
Fish,1,17,16,23,597,5
Insect,1,17,16,23,595.7,5
"Wiggles The Wiggles go bananas",1,17,16,24,782.42083,12
"Ethiopia for kids",1,17,16,31,963,12
"way things work Telecommunications",1,17,16,32,621.382,12
"Rock n learn Earth science",1,17,16,32,550,12
"Decimals percents",1,17,16,33,513.265,12
"Swan lake",1,17,16,33,792.842,14
"way things work Belts gears",1,17,16,33,621.833,12
"way things work Photography",1,17,16,34,621.367,12
"All your childs favorites",1,17,16,34,649.68,14
"Create faces face painting Halloween horror",1,17,16,34,745.5,14
"Critter quest bug out on a backyard safari",1,17,16,53,595.7,5
"Why Guy questions a firefighter",1,17,16,55,628.925,14
"How things work",1,17,16,57,621.8,5
"Growing up wild Bouncing babies",1,17,17,7,599.139,8
Mammals,1,17,17,8,599,8
"Fun on the farm introducing Doodle the Rooster and his animated friends",1,17,17,32,630.68,12
"Learning chess the easy way chess for absolute beginners",1,17,17,32,794.1,12
"Dropping in on Picasso",1,17,17,32,759.4,12
"Lets dance and tumble",1,17,17,33,791.64,12
Flight,1,17,17,35,629.1301,5
"magic school bus Space adventures",1,17,17,36,523,12
Spacetrekkers,1,17,17,36,520,12
"Signing time Practice time ABCs Level 1",1,17,17,56,419.7,14
"All about trucks",1,17,17,56,629.224,13
"Rock n learn Spanish Volumes I II",1,17,18,52,468.3421,14
"Shakespeare the animated tales Volume 4",1,17,19,4,822.33,13
Fish,1,17,19,4,597,13
Bird,1,17,19,4,598,13
Seashore,1,17,19,18,578.7699,2
"John Deere action 3",1,17,20,3,629.2252,5
"Baby boost Nursery rhymes",1,18,10,2,782.42083,15
"Schoolhouse rock America",1,18,10,2,973,15
"Predator and prey",1,18,12,11,591.53,5
"Hot potatoes the best of the Wiggles",1,18,12,20,782.42083,2
"Wiggles Racing to the rainbow",1,18,12,20,782.42083,2
"Signing time Series 2 volume 12 Box of crayons",1,18,12,31,419.7,3
"Signing time Series 2 volume 1 Nice to meet you",1,18,12,32,419.7,3
"Signing time Series 2 volume 13 Who has the frog",1,18,12,32,419.7,3
"Signing time Series 2 volume 11 Once upon a time",1,18,12,32,419.7,3
"Everybody dance",1,18,13,8,793.3083,4
"Lets hear it for the Laurie Berkner Band",1,18,13,10,782.42083,8
"VeggieTales Very silly songs VeggieTales very first sing along video",1,18,13,12,782.42083,14
"Sing along songs Happy haunting",1,18,13,12,782.42083,14
"Mister Maker Lets make it",1,18,13,15,745.5,14
"All about big machines",1,18,13,21,629,8
"Living sunlight how plants bring the Earth to life",1,18,13,24,572.46,13
"Teletubbies Go exercise with the Teletubbies",1,18,13,24,613.7042,13
"Fun in motion dance laugh learn about trucks cars trains planes boats",1,18,13,24,629.22,13
"Crossing the snow a tale from Japan",1,18,13,24,398.20952,7
"Who lives in Puget Sound",1,18,13,27,591.7699,13
"Popular mechanics for kids Lightning and other forces of nature",1,18,13,28,551.5632,2
"Shalom Sesame Volume 3 Shabbat shalom Grover",1,18,13,28,296.43,13
"Funtastic animals dance laugh learn about farm animals wild animals and pets",1,18,13,29,590,13
"science of Disney imagineering Newtons 3 laws of motion",1,18,13,54,531,9
"Fairy dancing",1,18,13,58,791.4372,1
"Lets learn how to use pastels and charcoal",1,18,14,1,741.235,7
"Sid the science kid Sid in motion",1,18,14,6,500,13
"Sid the science kid The bug club",1,18,14,15,507,13
"smart fitness workout brain based physical fitness routines",1,18,14,24,613.7042,3
Fire,1,18,14,31,353.979,0
"Meet the letters",1,18,14,50,428.13,13
"Classical baby Im grown up now The poetry show",1,18,15,27,808.81008,5
"Sid the science kid Going going green",1,18,15,27,791.4575,5
"Shalom sesame Volume 12 Adventures in Israel",1,18,15,27,956.94,5
"American Sign Language for kids Beginner level 1 volume 2",1,18,15,27,419.7,5
"Brainy baby Art exploring the world of art",1,18,15,27,700.83,5
"Families of Sweden",1,18,15,40,948.5,5
"Shanti Generation yoga skills for youth peacemakers",1,18,15,48,613.7046,16
"Baby ballet",1,18,16,28,792.8,1
"Shalom Sesame Volume 4 Grover plants a tree",1,18,16,28,296.43,7
"Sid the science kid Sid in motion",1,18,16,28,500,10
"magic school bus Bugs bugs bugs",1,18,16,30,595.7,16
"Dropping in on Grant Wood",1,18,16,34,759.13,9
