title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"magic school bus Human body",11,17,14,7,612,20
"magic school bus Super sports fun",11,24,15,0,530,13
Cat,11,20,14,7,599.75,17
"Shakespeare the animated tales Volume 1",11,23,17,54,822.33,14
"Shakespeare the animated tales Volume 4",11,23,17,54,822.33,14
"way things work Pumps",11,24,13,16,621.69,14
"way things work Ballooning",11,24,13,16,629.13322,14
"world of learning Volume 2",11,24,13,20,629.13334,14
YogaKids,11,21,12,44,613.7042,17
Cat,11,21,12,45,599.75,17
"Muzzy Spanish",11,27,10,26,468.3421,11
"Schoolhouse rock Grammar",11,25,15,31,428,12
"Hip hop for kids School house hop",11,27,11,55,793.3,11
"Rock n learn Earth science",11,24,13,31,550,14
"My fantastic field trip to the planets",11,24,13,31,523.4,14
"Eyewitness Planets",11,20,19,17,523.4,17
"Around the world",11,22,14,18,305.8,16
"Signing time Volume 4 Family feelings and fun",11,30,16,0,419.7,7
"Linnea in Monets garden",11,9,14,23,759.4,29
"Loose at the zoo",11,9,15,51,590.73,28
"Critter quest bug out on a backyard safari",11,14,12,15,595.7,24
"YogaKids 2 more poses more fun",11,25,12,14,613.7046,13
"Between the lions More animal stories 8 stories fun activities",11,6,17,8,372.465,31
"Raven steals the daylight a story from Alaska",11,26,19,40,398.20979,11
"magic school bus Sea and stars",11,26,14,59,500,12
"Schoolhouse rock Science",11,27,11,32,500,11
"Activity TV Paper airplanes",11,29,10,58,745.592,9
"Hot potatoes the best of the Wiggles",11,20,18,18,782.42083,17
Migration,11,16,13,6,591.568,22
"Prehistoric life",11,24,16,33,576.8,13
"ballerina me",11,24,16,32,792.8,13
"Elmos potty time",11,26,17,13,649.62083,11
"Families of Philippines",11,30,15,6,959.9,8
"I spy A mumble monster mystery other stories",11,21,14,51,793.735,17
"Hard Hat Harrys boats ships and airplanes",11,25,16,18,797.1,13
"Lets play games with Mei Mei",11,19,14,25,495.1824,19
Spanish,11,19,13,37,468.30832,19
"Baby sign language basics",11,19,13,37,419,19
"Baby animals",11,29,12,33,599.5,9
"AstroPuppies in space an amazing adventure for young astronauts",11,7,11,9,523.2,32
"Rainbows in the sea",11,12,11,45,577.789,27
"Germs your health",11,12,11,46,616.9041,27
"Rock n learn Multiplication rap",11,12,11,46,513.213,27
Deserts,11,12,11,46,577.54,27
"Meet the sight words 2",11,30,12,59,372.462,8
"John Deere action 2",11,30,12,59,629.2252,8
Horse,11,30,12,59,636.1,8
"magic school bus Creepy crawly fun",11,27,15,39,534,11
"Hula for children learn basic hula steps 3 hula songs",11,13,19,1,793.31996,25
"world of learning Volume 2",11,3,14,44,629.13334,35
"magic school bus Space adventures",11,29,12,35,523,10
"Learn French with Pânâlope Pezi Beginners level 1 volume 1",11,12,16,18,448.2421,26
Amphibians,11,26,15,54,597.8,12
"Chased by dinosaurs",11,24,15,4,567,14
"Signing time Volume 8 The great outdoors",11,9,15,14,419.7,29
"Signing time Volume 5 ABC signs",11,25,12,48,419.7,14
"Humanoid robots",11,10,15,5,629.892,28
"Signing time Volume 9 The zoo train",11,25,12,48,419.7,14
"Japanese Disc 3 Playtime",11,26,15,57,495.68342,12
"Signing time Volume 3 Everyday signs",11,9,15,14,419.7,29
"Rock n learn Division rap",11,20,16,45,513.214,18
"magic school bus catches a wave",11,26,14,59,553.7,12
"Im a potty pirate potty training for boys",11,8,17,24,649.62,30
"Be the creature The complete first season",11,5,16,33,590,33
"Elmos world Food water exercise",11,12,16,18,613.7042,26
"Sid the science kid Going going green",11,17,15,34,791.4575,21
Reptile,11,27,17,15,597.957,11
"Animals arachnids",11,27,17,15,590,11
"Whats in the Bible 2 Let my people go",11,25,11,58,222.12,14
"Be the creature The complete first season",11,25,15,27,590,14
"Mister Rogers neighborhood What do you do with the mad that you feel",11,25,14,25,152.47,14
"Schoolhouse rock Multiplication rock",11,9,16,1,513.213,30
"Schoolhouse rock America",11,25,11,58,973,14
"Christmas around the world",11,18,14,50,394.2663,21
"Sid the science kid Rock and roll Easter",11,27,11,35,552,12
"magic school bus Human body",11,26,17,8,612,12
"Two Bobbies a true story of Hurricane Katrina friendship and survival",11,26,17,8,636.0832,12
"Colonial America",11,25,11,58,973.2,14
"Baby boost Sing a long",11,25,16,32,782.42083,14
"Meet the letters",11,25,16,32,428.13,14
"Meet the shapes",11,25,16,32,516.15,14
"Fun with colors",11,25,16,32,535.6,14
"Baby Einstein Discovering shapes circles squares and more",11,25,16,32,516.15,14
"Ecosystems and biomes",11,27,11,21,577.82,12
"Kid guides Zoos",11,27,11,23,590.7373,12
"Im a potty princess potty training for girls",11,27,11,20,649.62,12
"Families of Afghanistan",11,27,11,20,958.1,12
India,11,27,11,20,954,12
"Seeds and plants",11,27,11,21,580,12
Matter,11,27,11,20,530,12
"Rocks and minerals",11,27,11,20,552,12
"Living room magic Volume 1",11,27,11,21,793.8,12
Dog,11,27,11,23,599.77,12
"Kid guides Kids sea camp Curacao",11,27,11,23,639.342,12
"Dive into diversity",11,27,11,21,591.77,12
"Kung fu for kids",11,25,13,19,796.8159,14
China,11,27,11,20,951,12
Reptiles,11,27,11,23,597.9,12
Cat,11,27,11,23,599.75,12
"National park animals for kids",11,27,11,23,590.0973,12
"Kid guides Museums",11,27,11,20,507.4,12
"Kid guides Aquariums",11,27,11,23,597.073,12
"Bugz from a bugs eye view",11,27,11,23,595.7,12
"Baby animals",11,27,11,23,599.5,12
"Lots lots of trucks Vol 1 Hard workin trucks",11,27,14,6,629.224,12
"Hola amigos Volume 2",11,14,16,26,468.3421,25
"Sid the science kid Feeling good inside and out",11,2,13,43,613.0432,37
"Sid the science kid Sids backyard campout",11,9,15,3,796.54,30
"Splish splash over the ocean",11,25,16,14,784.42083,14
"Signing time Series 2 volume 4 My favorite season",11,25,13,21,419.7,14
"Clay fun",11,25,12,26,738.1,14
"Fizzys lunch lab Fresh foods 101",11,25,15,27,613.2,14
"Jesus movie",11,25,15,27,232.901,14
Horse,11,13,19,24,636.1,25
"Easter story",11,24,16,50,232.96,15
"Young minds numbers and counting",11,19,16,32,513.211,20
"Im a potty pirate potty training for boys",11,19,16,32,649.62,20
"Sid the science kid Rock and roll Easter",11,30,13,23,552,9
"I can go potty potty training for boys and girls",11,25,16,26,649.62083,14
"Families of Philippines",11,21,18,10,959.9,18
"Early settlers",11,12,17,56,973,27
"Spanish 3 Playtime",11,3,15,9,468.3421,36
"Signing time Volume 1 My first signs",11,24,15,57,419.7,15
"Adentro y afuera Inside and out",11,20,16,8,468.3421,19
"Peep and the big wide world Chirp flies",11,29,13,55,372.35,10
"All about natural resources",11,30,17,26,553,9
Electricity,11,30,17,27,537,9
"Sid the science kid Sids backyard campout",11,23,14,17,796.54,16
"Families of China",11,15,17,49,951,24
"Families of Afghanistan",11,10,14,43,958.1,29
"Families of Germany",11,15,17,49,943,24
"Rock n learn Physical science",11,27,15,46,500.2,12
"Renewable energy",11,27,15,46,621.042,12
"Rock n learn Human body",11,27,15,46,612,12
"Families of Israel",11,15,17,49,956.54,24
"Rock n learn Earth science",11,27,15,46,550,12
"Baby signing time Volume 3 A new day",11,12,15,2,419,27
"Baby sign language basics",11,12,15,2,419,27
"Baby see n sign Vol 1 Object word association",11,12,15,2,649.122,27
"Signing time Volume 1 My first signs",11,12,15,2,419.7,27
"Watch learn Spanish with Professor Toto Part I Eric goes to school",11,25,17,4,468.3421,14
"Baby signing time Volume 2",11,23,17,6,419,16
"Sid the science kid Going going green",11,27,10,51,791.4575,13
"Meet the sight words 1",11,12,13,19,372.462,28
"Wiggles Lets eat",11,27,17,33,782.42083,12
"Meet the sight words 1",11,27,17,33,372.462,12
"Civil War and Reconstruction development of the industrial U S the 12th 25th presidents",11,25,13,8,973.099,15
"Signing time Volume 11 My neighborhood",11,22,12,54,419.7,18
"Sleeping beauty",11,23,17,4,792.842,16
"Revolution and the new nation expansion and reform the first eleven presidents",11,25,13,8,973.099,15
"Pre historic animals reptiles amphibians",11,26,16,11,597.8,13
Reptiles,11,26,16,11,597.9,13
"Yellowstone for kids",11,26,16,11,917.8752,13
"I spy A runaway robot and other stories",11,26,16,11,793.735,13
"Free to be you and me",11,26,16,11,810.8,13
Electricity,11,26,16,57,537,13
"Schoolhouse rock Science",11,26,16,57,500,13
"Wiggles Its always Christmas with you",11,26,16,36,782.42083,13
"Meet the sight words 2",11,20,17,51,372.462,19
"Lincoln and Douglass an American friendship and more stories to celebrate U S history",11,30,11,29,973.70922,10
"Schoolhouse rock Grammar",11,25,16,45,428,15
"Cinderella a dance fantasy",11,19,14,36,782.95,21
"Meerkat manor Season one",11,24,15,27,599.742,16
"Lets play games with Mei Mei",11,19,15,31,495.1824,21
"Shalom sesame Volume 2 Chanukah the missing Menorah",11,23,12,59,956.94,17
"Things with strings",11,26,17,7,787,14
"Meet the phonics Letter sounds",11,26,17,7,372.465,14
"Meet the numbers",11,26,17,7,372.72,14
"Rock n learn Telling time",11,26,17,7,681.113,14
"Families of Kenya",11,29,11,42,967.62,11
Seashore,11,29,11,42,578.7699,11
"I love toy trains Parts 4 5 6",11,2,13,58,625.19,38
"Play learn Chinese with Mei Mei 7 Lets visit Dawei Village",11,21,18,29,495.1824,18
"science of Disney imagineering Magnetism",11,26,15,16,531.55,14
Planets,11,24,13,29,523.4,16
Division,11,2,12,21,513.214,38
Germany,11,20,19,46,914.304,19
Atoms,11,20,19,46,539.6,19
"Decimals percents",11,2,12,18,513.265,38
"little travelers Episode 4 Iran",11,12,18,52,915.5,28
"Mandarin Chinese 2 Wake up smiling",11,17,15,41,495.13421,23
"Mandarin Chinese 1 Eating and drinking",11,17,15,41,495.13421,23
"Mandarin Chinese Disc 4 In my home",11,17,15,41,495.13421,23
"Mandarin Chinese 3 Playtime",11,17,15,41,495.13421,23
"Wild about safety Timon and Pumbaa Safety smart online",11,29,11,38,004.67808,11
"crown and the sceptre a story from Arabia",11,2,17,4,398.22,38
"Eric Carle picture writer",11,5,17,11,741.64209,35
"My baby can talk Sharing signs",11,27,12,54,419,13
"Peep and the big wide world Peep finds",11,27,17,39,372.35,13
"Barneys musical scrapbook",11,27,17,39,782.42083,13
"Sid the science kid The ruler of thumb",11,27,17,39,530.8,13
"Schoolhouse rock Science",11,27,17,39,500,13
"Peep and the big wide world Peeps new friends",11,27,17,39,372.35,13
"Wiggles Its always Christmas with you",11,26,11,3,782.42083,15
"Mandarin Chinese 1 Eating and drinking",11,4,18,15,495.13421,36
"Mandarin Chinese Disc 4 In my home",11,4,18,15,495.13421,36
"Mandarin Chinese 2 Wake up smiling",11,25,13,16,495.13421,15
"Mandarin Chinese Disc 5 Happy sad and silly",11,25,13,17,495.13421,15
"Lots lots of trucks Vol 2 Mighty tough trucks",11,20,10,31,629.224,21
"magic school bus catches a wave",11,19,17,53,553.7,21
"Be the creature The complete first season",11,21,16,4,590,19
"Hot potatoes the best of the Wiggles",11,4,13,25,782.42083,36
"Wiggles Getting strong",11,8,12,40,782.42083,33
"Electric Companys greatest hits bits",11,21,13,30,791.45,19
"best of the best of the Electric Company",11,16,15,11,372.414,24
"Monkey king wreaks havoc in heaven",11,27,16,0,398.20951,13
"More families of Mexico",11,27,15,46,972.0836,13
"Families of Mexico",11,27,15,46,972.0836,13
"Mighty machines Roadways to runways",11,2,11,47,629.133,39
"Sid the science kid Going going green",11,10,16,42,791.4575,30
"Sid the science kid Sid in motion",11,10,16,42,500,30
"Italian Disc 6 I can count",11,2,17,24,458.3421,38
"Italian Disc 5 Happy sad and silly",11,2,17,26,458.3421,38
"Sid the science kid Feeling good inside and out",11,29,15,9,613.0432,11
"Clap and tap",11,3,13,55,781.226,38
Seashore,11,9,13,22,578.7699,32
"Schoolhouse rock Science",11,19,12,25,500,22
"Zoboomafoo Pets",11,19,12,26,590,22
"Rock n learn Alphabet circus",11,14,17,47,372.465,26
"Wild about safety Safety smart about fire",11,14,17,47,363.377,26
"All about properties of matter",11,8,16,59,530.412,32
"All about blood the heart",11,8,16,59,612.1,32
"Big fins",11,8,16,59,591.77,32
"Baby animals",11,8,16,59,599.5,32
Bird,11,8,16,59,598,32
"All about motion balance",11,8,16,59,531.11,32
"science of Disney imagineering Friction",11,8,16,59,531.1134,32
"science of Disney imagineering Fluids",11,8,16,59,532,32
"magic school bus Super sports fun",11,13,13,58,530,28
"Zoboomafoo Wild creatures furry fashion",11,27,11,51,590,14
"way things work Pumps",11,21,12,21,621.69,20
"Sid the science kid Rock and roll Easter",11,26,15,48,552,14
"magic school bus takes flight",11,19,17,23,500,21
"way things work Pumps",11,27,18,42,621.69,13
Erosion,11,19,17,22,551.3,21
"magic school bus Human body",11,19,17,22,612,21
Wind,11,19,17,23,621.31,21
Earthquakes,11,27,18,42,551.22,13
"Mighty machines Mega pack",11,30,15,8,629.225,11
"magic school bus Sea and stars",11,19,17,23,500,21
Waves,11,13,14,45,531.1133,28
"Mighty machines Machines on the job",11,30,15,11,621.8,11
"One wee world celebrates Mexico",11,26,16,33,972,14
"Create faces face painting Halloween classics",11,27,16,4,745.5,13
"Baby signing time Volume 2",11,29,11,7,419,12
"Earths seasons",11,30,15,8,508.2,11
"Going to school",11,27,14,10,371.002,14
"Rock n learn Phonics easy readers on DVD",11,19,16,1,372.465,22
"Edgar Degas",11,19,16,1,759.4,22
"Miss Christys Dance adventure",11,19,16,1,793.3083,22
"Im a ballerina now",11,19,16,1,792.8,22
Monet,11,19,16,1,759.4,22
"Rock n learn Phonics Volumes I II",11,19,16,1,372.465,22
"Why Guy questions a firefighter",11,27,16,26,628.925,14
"Lincoln and Douglass an American friendship and more stories to celebrate U S history",11,30,16,52,973.70922,11
"Families of United Kingdom",11,30,16,53,942.086,11
"Thomas Jefferson",11,30,16,53,973.46092,11
"Preschool fun Planets dinosaurs",11,23,14,19,523.4,18
Bird,11,23,14,21,598,18
"Learn hip hop step by step",11,26,15,34,782.42164,15
"Kids love Spanish Volume 2 Alphabet numbers",11,27,15,18,468.3421,14
"Hebrew Disc 1 Eating and drinking",11,27,15,18,492.48342,14
"Ecosystems and biomes",11,3,14,31,577.82,38
Habitats,11,3,14,31,577,38
"Sid the science kid Gizmos and gadgets",11,27,19,38,621.8,13
Nutcracker,11,27,19,37,792.842,13
"French Disc 4 In my home",11,19,16,51,448.3421,22
"art of crochet 4 kids",11,25,14,8,746.434,16
"Mighty machines Lights ladders",11,17,16,8,629.224,24
Migration,11,17,16,8,591.568,24
"All about health hygiene",11,12,18,54,613.0432,28
Seashore,11,12,18,53,578.7699,28
"American Sign Language for kids Beginner level 1 volume 2",11,23,12,33,419.7,18
"Get fit America for kids",11,27,17,40,613.7042,14
"Sid the science kid Sids pet project",11,30,15,46,636.0887,11
"Nature for kids Beginning Spanish the fun and easy way to learn Spanish",11,27,10,27,468.24,14
Plant,11,25,16,9,581.7,16
"Lots lots of trucks Vol 2 Mighty tough trucks",11,12,11,33,629.224,29
"Baby signing time Volume 1",11,4,13,34,419,37
"Shakespeare the animated tales Volume 2",11,23,17,54,822.33,18
"Signing time Volume 1 My first signs",11,19,15,53,419.7,22
"Schoolhouse rock Science",11,26,15,54,500,15
"Mighty machines Mega pack",11,12,11,18,629.225,30
"Sid the science kid Sids pet project",11,30,16,36,636.0887,11
"magic school bus catches a wave",11,21,13,54,553.7,21
"Mighty machines Ships ahoy Super machines Ohâ du bateau",11,25,12,15,623.82,17
"Sid the science kid Weather kid Sid",11,21,13,54,551.5,21
"Lots lots of big trains Vol 1 Giant railroad action",11,25,12,15,625.2,17
"iKnow animals letters sounds Vol 1",11,25,12,15,372.465,17
Flight,11,25,12,15,629.1301,17
"Train crazy kids",11,25,12,15,625.2,17
"Rock n learn Letter sounds",11,26,10,51,372.465,16
"way things work Telecommunications",11,27,18,22,621.382,14
"All about solids liquids gases",11,27,18,22,530.414,14
"Living room magic Volume 1",11,6,12,6,793.8,36
"Living room magic Volume 2",11,6,12,6,793.8,36
"Renewable energy",11,16,16,32,621.042,25
"Sid the science kid Sid wings it",11,23,14,23,629.1301,19
"Rock n learn Getting ready for kindergarten",11,18,16,10,372.218,23
"Families of Kenya",11,17,15,3,967.62,25
"All about bones muscles",11,17,15,3,612.75,25
"Activity TV Halloween Vol 1",11,17,15,3,745.59416,25
"Hear my world",11,17,15,3,612.85,25
"Russian for babies toddlers and preschoolers Disc 2 Wake up smiling",11,26,17,6,491.78346,15
"Rock n learn Getting ready for kindergarten",11,26,15,38,372.218,16
"Colonial America",11,2,13,4,973.2,40
"Yoga for kids mind body fun poses and yoga basics",11,23,14,48,613.7042,19
"Rock n learn Human body",11,18,16,15,612,24
"frog prince",11,29,15,49,398.2,13
"Sid the science kid Going going green",11,25,16,6,791.4575,17
"Rock n learn Addition subtraction rap",11,18,16,10,513.21,24
"Shalom Sesame Volume 3 Shabbat shalom Grover",11,22,13,40,296.43,20
"French Disc 4 In my home",11,7,13,40,448.3421,35
"French 2 Wake up smiling",11,7,13,40,448.3421,35
"Schoolhouse rock Science",11,18,17,38,500,24
"magic school bus Sea and stars",11,25,16,14,500,17
"Sid the science kid Sid wings it",11,8,16,44,629.1301,34
"Im a potty pirate potty training for boys",11,16,16,24,649.62,26
"YogaKids 2 more poses more fun",11,16,16,24,613.7046,26
"Nature for kids Beginning Spanish the fun and easy way to learn Spanish",11,30,16,14,468.24,12
"Green Man of Knowledge",11,29,16,17,398.20941,13
"Loch Ness kelpie a tale from Scotland",11,29,16,17,398.20941,13
"enchanted lion",11,29,16,18,398.20943,13
Fionn,11,29,16,18,398.20941,13
"three sisters who fell into the mountain a story from Norway",11,29,16,18,398.20948,13
"Blast off a kids introduction to the space program",11,21,13,58,629.40973,22
"School house rock Earth",11,14,18,35,333.72,28
"ballerina me",11,2,11,29,792.8,41
"Sleeping beauty",11,2,11,29,792.842,41
"Tot tap a fun filled introduction to the world of tap dance for kids",11,2,11,30,792.78,41
"Dancing for kids",11,2,11,29,792.80833,41
"Kick to get fit Jr for kids",11,25,18,14,613.71,17
"Baby sign language basics",11,29,12,4,419,14
"Free to be you and me",11,26,14,18,810.8,17
"Learn Chinese lets visit Chinese kindergarten",11,30,13,53,495.18342,13
"Johnny Appleseed",11,5,16,46,398.22,38
"magic school bus catches a wave",11,29,16,3,553.7,14
"magic school bus Creepy crawly fun",11,29,16,3,534,14
"I spy A runaway robot and other stories",11,29,16,3,793.735,14
"Lots lots of jets and planes Vol 1 Thunder in the skies",11,29,16,3,629.13334,14
"Activity TV Origami",11,30,16,23,736.982,13
Fish,11,29,16,3,597,14
"Kids love Spanish Volume 3 Family",11,14,16,26,468.3421,29
"Im a potty pirate potty training for boys",11,29,15,32,649.62,14
"Dirt monsters",11,16,13,6,681.76,27
China,11,30,11,21,951,14
"Families of China",11,23,11,29,951,21
China,11,16,16,50,951,27
"magic paintbrush a story from China",11,30,11,21,398.20951,14
"Families of China",11,16,16,50,951,27
"first Christmas",11,27,19,30,232.9,16
"Animal atlas Fun on the farm",11,7,18,58,630.68,36
"English ESL 2 Wake up smiling",11,26,13,32,428.3461,17
"English ESL 3 Playtime",11,26,13,32,428.3461,17
"English ESL 1 Eating and drinking",11,26,13,32,428.3461,17
"American Sign Language for kids and adults Volume 2 Visiting the zoo",11,17,15,16,419.7,26
"Signing time Volume 3 Everyday signs",11,17,15,16,419.7,26
"American Sign Language for kids Beginner level 1 volume 1",11,10,15,14,419.7,33
"American Sign Language for kids Beginner level 1 volume 2",11,10,15,14,419.7,33
"Renewable energy",11,27,10,45,621.042,17
"Mighty machines Mega pack",11,27,10,46,629.225,17
Life,11,16,15,42,570,27
"Yoga for kids mind body fun poses and yoga basics",11,19,19,23,613.7042,24
"Little Roosters diamond button",11,30,15,58,398.20943,13
"Adventures with dance",11,2,14,24,792.8,41
"Families of China",11,2,15,46,951,41
"Schoolhouse rock America",11,2,15,46,973,41
"Monkey king wreaks havoc in heaven",11,30,14,49,398.20951,13
"Teaching signs for baby minds 2 Concepts combinations",11,30,11,29,419.7,14
"Mighty machines Mega pack",11,2,15,46,629.225,41
"Signing time Series 2 volume 10 Helping out around the house",11,30,11,29,419.7,14
"Japanese Disc 2 Wake up smiling",11,30,11,29,495.68342,14
"Spanish 2 Wake up smiling",11,23,11,38,468.3421,21
"magic school bus Human body",11,25,12,21,612,19
"Our feathered friends adventures on a chicken farm",11,4,19,46,636.5,39
"Chieko and the pine a Japanese folktale",11,4,19,46,398.20592,39
"magic school bus Sea and stars",11,23,11,46,500,21
YogaKids,11,23,15,40,613.7042,20
"Mighty machines Mega pack",11,30,16,19,629.225,13
"Sid the science kid Sids pet project",11,30,14,25,636.0887,14
"Cooking with kids exploring Chinese food culture and language",11,27,16,42,641.5951,16
"Civil War and Reconstruction development of the industrial U S the 12th 25th presidents",11,30,16,12,973.099,14
"emergence of modern America the Great Depression WWII the 26th 32nd presidents",11,30,16,11,973.099,14
"Postwar contemporary United States the 33rd 44th presidents",11,30,16,11,973.099,14
"Revolution and the new nation expansion and reform the first eleven presidents",11,30,16,12,973.099,14
"Between the lions More animal stories 8 stories fun activities",11,30,11,4,372.465,14
"Schoolhouse rock Grammar",11,30,15,22,428,14
"Ecosystems and biomes",11,24,16,55,577.82,19
"Big machines one",11,9,13,47,624,35
"School house rock Election collection",11,21,16,6,320.973,23
"Schoolhouse rock America",11,21,16,6,973,23
"I love airplanes",11,23,17,51,629.133,20
"science of Disney imagineering Magnetism",11,23,17,51,531.55,20
"Germs your health",11,23,17,51,616.9041,20
"Renewable energy",11,23,17,51,621.042,20
"Barack Obama the story of our 44th president",11,30,17,11,973.93209,13
"Jazz class for kids",11,23,12,20,793.3,21
"Dance dance dance",11,23,12,20,792.8,21
"Learn ballet step by step",11,23,12,20,792.82,21
"way things work Electricity",11,18,10,43,537,26
"Prehistoric life",11,2,15,21,576.8,42
"Prehistoric park",11,2,15,21,567.9,42
"All about waves",11,30,17,36,531.33,13
"Signing time Series 2 volume 7 My favorite sport",11,13,14,56,419.7,31
"Signing time Series 2 volume 4 My favorite season",11,5,16,37,419.7,39
"Lots lots of trains Vol 3 Roaring down the rails",11,22,15,43,625.2,22
"Signing time Series 2 volume 6 Days of the week",11,13,14,55,419.7,31
"Writing strategies",11,30,15,12,372.623,14
Migration,11,30,15,12,591.568,14
"Baby boost Nursery rhymes",11,12,11,38,782.42083,32
"What makes a fish a fish",11,30,17,36,597,13
"science of Disney imagineering Electricity",11,30,17,36,537,14
"Mister Rogers neighborhood What do you do with the mad that you feel",11,23,17,57,152.47,20
"Schoolhouse rock Science",11,21,13,23,500,23
"Peep and the big wide world Peep floats",11,29,12,25,372.35,16
"Merlin and the dragons a story from Wales",11,23,16,41,398.20942,21
"All about John Deere Big forestry and construction machines only",11,23,11,4,629.225,22
Evolution,11,25,10,38,508,20
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",11,4,19,44,438.3421,40
"Learn magic with Lyn",11,24,15,23,793.8,21
"scoop on poop",11,24,15,23,612.36,21
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",11,4,19,44,438.3421,40
"All your childs favorites",11,12,19,46,649.68,32
"Watch learn Spanish with Professor Toto Part I Eric goes to school",11,27,17,39,468.3421,17
"All about trains for kids",11,20,16,57,625.1,24
"Fun damentals dance laugh learn about ABCs numbers colors shapes",11,12,19,46,372.465,32
Mexico,11,20,16,57,305.86872,24
"magic school bus Bugs bugs bugs",11,29,15,9,595.7,16
"Kidz bop Dance moves",11,23,16,12,793.3,21
"Fun with counting",11,23,16,13,513.21,21
Flight,11,23,16,26,629.1301,21
"Be the creature The complete first season",11,4,13,13,590,41
"science of Disney imagineering Newtons 3 laws of motion",11,30,14,55,531,15
"science of Disney imagineering Electricity",11,30,14,54,537,15
"science of Disney imagineering Designs and models",11,30,14,54,620.004,15
"science of Disney imagineering Energy",11,30,14,55,530,15
"science of Disney imagineering Fluids",11,30,14,55,532,15
"science of Disney imagineering Animal adaptations communication",11,30,14,55,591.59,15
"science of Disney imagineering Trajectory",11,30,14,55,531.55,15
Migration,11,24,16,31,591.568,21
"Gustafer Yellowgolds Wide wild world",11,25,12,31,782.42083,20
"Introduction to robotics",11,18,14,26,629.892,27
"So you want to be president and more stories to celebrate American history",11,19,15,40,352.23709,26
"science of Disney imagineering Gravity",11,25,11,57,531.14,21
"Firefighter George fire engines Volume 1",11,18,14,36,628.9259,27
"Sid the science kid Sid wings it",11,20,11,14,629.1301,26
"magic school bus Human body",11,23,11,2,612,23
"magic school bus Creepy crawly fun",11,23,11,2,534,23
"magic school bus Sea and stars",11,23,11,2,500,23
"Meet the letters",11,18,14,16,428.13,28
"Creepy creatures",11,19,13,53,590,27
"Fun on the farm introducing Doodle the Rooster and his animated friends",11,19,13,53,630.68,27
"Wiggles Lets eat",11,19,13,53,782.42083,27
"magic school bus Human body",11,19,13,53,612,27
"Classical baby The art show",11,19,16,34,700.103,26
"Families of Thailand",11,30,14,39,959.3,16
"Zoboomafoo Wild creatures furry fashion",11,30,13,23,590,16
"English ESL 5 Happy sad and silly",11,19,12,41,428.3461,27
"English ESL 4 In my home",11,19,12,41,428.3461,27
"cELLAbration live a tribute to Ella Jenkins",11,19,12,41,782.42083,27
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",11,19,12,41,438.3421,27
"Classical baby The art show",11,25,15,16,700.103,21
"Im a potty princess potty training for girls",11,14,14,34,649.62,32
"Wild about safety Safety smart about fire",11,26,14,18,363.377,20
"Whats in the bible Vol 7 Exile and return Ezra Nehemiah Esther",11,14,15,26,221.9505,32
"first Christmas",11,30,14,0,232.9,16
"Rock n learn Physical science",11,17,14,35,500.2,29
"Baby signing time Volume 2",11,23,14,4,419,23
"Im a potty pirate potty training for boys",11,27,14,51,649.62,19
"Baby signing time Volume 1",11,23,14,4,419,23
"AstroPuppies in space an amazing adventure for young astronauts",11,17,15,13,523.2,29
"Go potty go potty training for tiny toddlers",11,4,14,23,649.62,42
"Shalom sesame Volume 1 Welcome to Israel",11,26,19,39,956.94,20
"Shalom Sesame Volume 3 Shabbat shalom Grover",11,12,11,41,296.43,35
"Shalom Sesame Volume 4 Grover plants a tree",11,12,11,41,296.43,35
"Seeds and plants",11,14,12,30,580,33
Matter,11,14,12,29,530,33
"Rocks and minerals",11,14,12,30,552,33
Habitats,11,14,12,29,577,33
"ultimate collection",11,21,13,56,629.04,26
"Puppytown Growing up",11,21,15,58,636.73,25
"Everybody dance",11,13,12,19,793.3083,34
"Lots lots of trains Vol 1 Smokin steam diesel",11,16,12,8,625.2,31
"Schoolhouse rock",11,30,15,22,372,17
"Sid the science kid Sid in motion",11,24,13,38,500,23
"Rock n learn Human body",11,7,11,52,612,40
"Between the lions Animal stories 8 stories fun activities",11,26,17,6,372.465,20
"Lots lots of trains Vol 1 Smokin steam diesel",11,23,14,19,625.2,24
"Hola amigos Volume 1",11,17,17,0,468.3421,30
"Meet the sight words 1",11,20,10,31,372.462,27
"Meet the sight words 2",11,20,10,31,372.462,27
"Sid the science kid Sid in motion",11,20,10,31,500,27
"Sid the science kid Sids backyard campout",11,20,10,31,796.54,27
"magic school bus catches a wave",11,29,10,40,553.7,18
Israel,11,22,15,36,956.94,25
"Skill building buddies Sharing and taking turns",11,4,18,19,618.92858,43
"Animal atlas Creepy creatures",11,23,10,31,590,24
"National park animals for kids",11,23,10,32,590.0973,24
Seashore,11,23,10,32,578.7699,24
Reptile,11,23,10,31,597.957,24
"magic school bus Human body",11,12,14,59,612,35
"Activity TV Halloween Vol 4",11,9,14,24,745.59416,38
"way things work Musical instruments",11,26,15,10,784.19,21
"Rock n learn Human body",11,20,14,44,612,27
"Zoboomafoo Pets",11,27,14,29,590,20
"Lots lots of big trains Vol 1 Giant railroad action",11,27,12,9,625.2,21
"Rockin dance party",11,27,10,48,649.68,21
