title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Lots lots of jets and planes Vol 2 Adventures in the air",1,7,14,53,629.13334,6
"John Deere earth mover action",1,5,15,10,629.225,8
"Learn hip hop step by step",1,10,15,29,782.42164,3
"Fizzys lunch lab Fresh foods 101",1,2,15,44,613.2,11
Migration,1,9,12,9,591.568,5
"Families of Israel",1,13,13,29,956.54,1
Cat,1,3,13,57,599.75,10
"Im a potty princess potty training for girls",1,2,14,19,649.62,11
"Lots lots of jets and planes Vol 3 Jumbo jets in action",1,2,14,19,629.13334,11
"Train crazy kids",1,2,14,18,625.2,12
"Road construction ahead 2",1,2,14,18,625.725,12
"Lots lots of fire trucks Vol 2 Amazing rescue rigs",1,2,14,17,628.9259,12
"John Deere action 2",1,2,14,17,629.2252,12
Earthquakes,1,7,11,41,551.22,7
Migration,1,2,14,52,591.568,11
"Probability statistics",1,7,13,28,519.2,7
"Free to be you and me",1,8,12,42,810.8,6
"Im a potty princess potty training for girls",1,9,15,41,649.62,5
"National park animals for kids",1,7,16,56,590.0973,6
"Swan lake",1,7,12,31,792.842,7
Nutcracker,1,7,12,31,792.842,7
"All about the human life cycle",1,7,16,56,612.6,6
"Origami fun for kids",1,3,16,48,736.982,10
"Kids Ten Commandments the complete collection",1,3,17,22,241.52,10
"Japanese Disc 1 Eating and drinking",1,3,13,53,495.68342,11
"Japanese Disc 3 Playtime",1,3,13,53,495.68342,11
"English ESL 2 Wake up smiling",1,3,13,52,428.3461,11
"Japanese Disc 2 Wake up smiling",1,3,13,53,495.68342,11
"Predator and prey",1,3,13,52,591.53,11
"All about the human life cycle",1,3,13,52,612.6,11
"Silly songs sing a long",1,3,13,52,782.42083,11
"Families of Korea",1,10,16,37,951.9043,4
"Kool Kids sing a long",1,8,15,2,782.42083,6
"Linnea in Monets garden",1,8,15,29,759.4,6
"Sid the science kid Sids sense ational adventures",1,3,18,12,500,10
"magic school bus Super sports fun",1,7,16,45,530,7
Gravity,1,3,17,9,531.14,11
Forensics,1,3,17,9,363.25,11
Caves,1,3,17,9,551.447,11
"Miss Christys Dance adventure",1,9,17,35,793.3083,5
"Families of Russia",1,11,17,9,947.086,3
"1st 7th grade math tutor 7 hour video course",1,4,11,44,513.2,10
"Baby boost Nursery rhymes",1,4,11,44,782.42083,10
"Animal atlas Animal 123s",1,4,11,44,513.5,10
Weather,1,2,15,35,551.5,12
"All about bones muscles",1,2,15,35,612.75,12
"Human machine Bodyzone",1,2,15,35,612,12
"Meerkat manor Season one",1,9,17,58,599.742,5
"magic school bus Bugs bugs bugs",1,9,15,10,595.7,5
Gravity,1,3,13,3,531.14,11
"emperors egg",1,10,16,48,598.47,4
"Once upon a potty for him",1,3,12,3,649.62,11
"Fun on the farm introducing Doodle the Rooster and his animated friends",1,3,12,3,630.68,11
"Sid the science kid Sids backyard campout",1,7,10,9,796.54,8
"Podna and Podni a story from Pakistan",1,7,10,9,398.20954,8
"scrambled states of America and more stories to celebrate our country",1,6,13,11,973,8
"magic school bus Holiday special",1,4,12,18,333.72,10
"French 3 Playtime",1,3,11,19,448.3421,11
